测试公告,#genre#
禁止传播,https://live.ottiptv.cc/douyin/rid/92786073625$枫叶
禁止传播,https://live.ottiptv.cc/douyin/rid/979081011458$二八a
禁止传播,https://live.ottiptv.cc/douyin/rid/24900402905$晚风
禁止传播,https://live.ottiptv.cc/douyin/rid/600961044912$优格
禁止传播,https://live.ottiptv.cc/douyin/rid/647158781193$星南
禁止传播,https://live.ottiptv.cc/douyin/rid/447627600547$顾夕
禁止传播,https://live.ottiptv.cc/douyin/rid/15357355805$十里
禁止传播,https://live.ottiptv.cc/douyin/rid/877123109432$李修宇
禁止传播,https://live.ottiptv.cc/douyin/rid/556272540938$小川
喜剧电影,https://live.ottiptv.cc/douyu/4549169$橙記
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰中文,http://bxtv.3a.ink/api.php?id=fhzw
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
翡翠台,http://bxtv.3a.ink/api.php?id=fct
PopC,http://bxtv.3a.ink/api.php?id=popc
VIUTV,http://bxtv.3a.ink/api.php?id=viutv
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
NOW新闻,http://bxtv.3a.ink/api.php?id=now
广东体育,http://bxtv.3a.ink/api.php?id=gdty
广东珠江,http://bxtv.3a.ink/api.php?id=gdzj
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw
更新2025-11-23,https://api.kuleu.com/api/MP4_xiaojiejie
更新2025-11-23,https://v2.xxapi.cn/api/meinv?return=302
更新2025-11-23,https://api.magisk.icu/API/videos.php
更新2025-11-23,https://api.yuafeng.cn/API/ly/cqng.php
更新2025-11-23,https://api.yuafeng.cn/API/ly/yzxl.php
更新2025-11-23,https://api.yuafeng.cn/API/ly/sjxl.php

电影专区,#genre#
家庭剧场,http://106.53.99.30/tv/gitv.php?id=0001
怀旧年代,http://106.53.99.30/tv/gitv.php?id=0002
都市生活,http://106.53.99.30/tv/gitv.php?id=0003
传奇剧场,http://106.53.99.30/tv/gitv.php?id=0004
警匪悬疑,http://106.53.99.30/tv/gitv.php?id=0005
古装剧场,http://106.53.99.30/tv/gitv.php?id=0006
抗战剧场,http://106.53.99.30/tv/gitv.php?id=0007
谍战剧场,http://106.53.99.30/tv/gitv.php?id=0008
欢乐剧场,http://106.53.99.30/tv/gitv.php?id=0009
经典老剧,http://106.53.99.30/tv/gitv.php?id=0010
乡村剧场,http://106.53.99.30/tv/gitv.php?id=0011
电影大片,http://106.53.99.30/tv/gitv.php?id=0012
爆笑综艺,http://106.53.99.30/tv/gitv.php?id=0013
智勇闯关,http://106.53.99.30/tv/gitv.php?id=0014
相声小品,http://106.53.99.30/tv/gitv.php?id=0015
中国通史,http://106.53.99.30/tv/gitv.php?id=0016
世界历史,http://106.53.99.30/tv/gitv.php?id=0017
传奇故事,http://106.53.99.30/tv/gitv.php?id=0018

央视, #genre#
CCTV1综合, http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=2025112304003049b136b98f3b41d7affa08e1dfc48cc6&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251123040030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.90&SecurityKey=20251123040030&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b4543e67cdf217c413d929a477245f79&ddCalcu=9b74ef525484302e76774cad9f2291d73c14
CCTV2财经, http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=2025112304003070330bf02d4d434da9e58cef7221afc1&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251123040030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.90&SecurityKey=20251123040030&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d47f33df2377e6b6d07d430f0374434c&ddCalcu=cd44e3724f1430733d0ff2033747de760bd6
CCTV3综艺, http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=2025112304003046b989d98652408ebc8780499161559c&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251123040030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20251123040030&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=38a895ef3fe1241cfb99564c3a523f5f&ddCalcu=f358efa238429055ae3fc34f6e519294b1fc
CCTV4中文国际, http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=202511230400313320133aeba34469bbccf41becda888c&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=031d32af135e9124a6d6177788acb54b&ddCalcu=b043e512bd1c30a28a8f7173751e69d162a4
CCTV5体育, http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=20251123040031b2053c5ff07b4f3ea4d7b78bd8b4eee9&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0cb75a534f9d85ca6bec44a2c2457884&ddCalcu=408ce8b27715504a25c324af494dc8e5bc6a
CCTV5+体育赛事, http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202511230400315e80703a91b9449680c235510fe2e073&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b16f0c5928febde48ba7e5faaf124195&ddCalcu=5b91e1624f12001cf5a9a2f85fee7badbe84
CCTV6电影, http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=20251123040031b17f2c41304a472cb05ebf3e9982f8aa&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=53a97c7216e4ce7560f2f483af341916&ddCalcu=6513e9a21944703cf7a231864ef42cfe0765
CCTV7国防军事, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=202511230400310bcf237c69b14e84b5a04a83ff07a174&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c9289138191e5b15e22940394cdda5a3&ddCalcu=3ca9e522a83d90d1c3489139014e952b21e5
CCTV8电视剧, http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202511230400317a55266092a84aee81c544ac65095c07&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=910d5b84d409f79bf2adaf3872c02d87&ddCalcu=7981ed022d4050cb28748d34f0a9dfa729fb
CCTV9纪录, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=20251123040031c363eedf061b49b6a15e99dd1191c728&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=730e06158d0b25bc0c64901768e50b18&ddCalcu=8713eb020e3500e68165781d009b4265cb0c
CCTV10科教, http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=20251123040031dd0b5fdae25d4b57b1b57b42ae6f6eac&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a07a86f626f937e86a2065493499f57a&ddCalcu=aa70e572fa4980964f3692465f690327ae68
CCTV11戏曲, http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=2025112304003185c4ec76812e4bdc9a33f46e037848c5&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=267ae303bfd69f4069df4ccf9f208c12&ddCalcu=2216ec728a70e023f093fbcfcd46f9df9460
CCTV12社会与法, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=20251123040031b312417322e6416a8e198ef015f93bca&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a521bb05cc29a448252f25f0b2c59821&ddCalcu=1a25e8229135b0cb20b50cfc5229fa245428
CCTV13新闻, http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20251123040031a2cf19f32e4449f8855fb989faec9c91&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=9c1274991522852e3d38a299de8a376c&ddCalcu=c96ce712328a7084e9d9919522a28835d23e
CCTV14少儿, http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=20251123040031e75e246bd91349f39c918c8674702dab&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=69f683d951ad698f552fe032dcfb146c&ddCalcu=c669e4f2164b80f3cdd925310aedf629585f
CCTV15音乐, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=20251123040031a13a9a06d6eb4693970684cce6be9adc&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=267a87c43b54eb08005b9ff776ecf81e&ddCalcu=e216e872fa3c80e76c7473fbf594be5b0008
CCTV17农业农村, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=2025112304003196b31bbde6694ec991231829da132ebd&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8e498ce4f5efc46429fa399f49db9a52&ddCalcu=285eea42993b80dc9e44ff959e3facf49624
CCTV4欧洲, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=202511230400312bff519544b64bcb8e6cd50d0d654d28&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251123040031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=106.13.250.90&SecurityKey=20251123040031&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=096adfe7b67898a199c40f4581ccbb22&ddCalcu=2029eb62ba8cd0cf1e875b46f70849c89a91
CCTV4美洲, http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=202511230400324c25379515ab40229cc11678ad47cf73&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=53916e12f47a826c1526ead277bb17b6&ddCalcu=65b3e792118b60be71722fd4a7ea6822561c
CGTN外语纪录, http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=202511230400321f83e44e803348c6ba5846aaba0e53ee&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7aafb14a802bed383ae834050d606133&ddCalcu=373ae1a26f90b061d40a5800423b8eeda338
CGTN阿拉伯语, http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=20251123040032208dd0fa0ea342e4b6324bc94233021a&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=34c78021ad12bb68af0ecd62823efff0&ddCalcu=03f4efc2f79e803022812a6dd1c2eb0bf6a8
CGTN西班牙语, http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=202511230400326ecffdade348441c8e3da0845f530261&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ef351b7373abf094240dfd254ba76ef4&ddCalcu=4effee32659710abb7435723dafbdf004924
CGTN法语, http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=202511230400321b37c8f78c6b48c499937741e8d4c4be&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=30cb91805849417e6a59f67cf595e187&ddCalcu=7380e1c2eb95909158f0c57864f99451a76e
CGTN俄语, http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=2025112304003205fde8f1ad5940699b198b7710178ce1&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=242a7656df80e8851bebf554d4ecdb68&ddCalcu=8264eb22da9c70e645d64d5f58f0bee8b815
老故事, http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20251123040032a14ccff5ef2849c89db6710541d6c1bd&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=447550b7f36842292ec5315f7f275308&ddCalcu=8404e37255475020fb77ff53163854c2e229
发现之旅, http://gslbmgsplive.miguvideo.com/wd_r3/cnr/faxianzhilv/2000/index.m3u8?msisdn=20251123040032c37257e2b0384eab906c01e4275b2aaf&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=446bcbf1b8488b8068b13081f959ebf0&ddCalcu=04f4eb62eb49c05b9ff11b88043818bb8860
中学生, http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=20251123040032fc70b6aaa5254d5f83c766651cb38304&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a358441bcee7eb056439cee2bd8ded23&ddCalcu=3a23ed52e88d4084d1bb2ceeeec79e3b4065
CGTN, http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=20251123040032f36d39ca29b84960a2bb3abeb0ec9140&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=516306648def0b131fa23156b15db47a&ddCalcu=a571e462b39d005616b4685d1e3f20abf113

体育, #genre#
赛事最经典, http://gslbmgsplive.miguvideo.com/migu/kailu/saishijingdian/51/20250514/index.m3u8?msisdn=2025112304003239e50eef8d48496da6f7441599de90b2&mdspid=&spid=699004&netType=0&sid=5500592947&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=646596895&ParentNodeID=-99&assertID=5500592947&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=5101034296&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=21500d72b170b3691cde10d9c4b1cd9f&ddCalcu=f291ed52c06100bd47c29bd10710ebd3c619
体坛名栏汇, http://gslbmgsplive.miguvideo.com/migu/kailu/titanminglan/51/20250514/index.m3u8?msisdn=20251123040032ebcfe6173f494351929f06fdddc9f86b&mdspid=&spid=699004&netType=0&sid=5500315687&pid=2028597139&timestamp=20251123040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=629943305&ParentNodeID=-99&assertID=5500315687&client_ip=106.13.250.90&SecurityKey=20251123040032&promotionId=&mvid=5101034219&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=43404d3f9f924602ba61c5f0adb3fc75&ddCalcu=5473ec42f09340bdd3af09ff59c21466a0b2
四海钓鱼, http://gslbmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?msisdn=2025112304003363ec69ab9d1e4215a65e103c9a262410&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20251123040033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=106.13.250.90&SecurityKey=20251123040033&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d62517045bef0a4f406a67faf7ef7133&ddCalcu=3d36e122757f10e770f4a5fb7e6fa06a044f
